target	position
band	2
band	5
band	11
band	4
bat	11
bat	2
bat	2
bat	6
bat	5
bat	4
bat	2
bat	3
bat	11
bat	1
bat	5
bow	6
bow	6
bow	4
bow	13
card	9
card	8
button	1
button	10
button	7
button	4
button	3
button	3
button	3
button	8
button	4
button	6
button	5
button	7
button	2
button	8
button	3
button	4
button	13
button	10
button	3
button	3
button	4
button	6
button	4
button	4
button	3
button	11
button	7
button	6
button	5
button	5
button	5
button	5
button	5
button	8
button	7
button	4
chicken	3
chicken	3
chicken	2
chicken	6
chicken	5
chicken	5
chicken	4
chicken	2
chicken	5
chicken	4
chicken	4
chicken	1
chicken	4
chicken	11
chicken	1
chicken	1
chicken	7
chicken	4
chicken	4
chicken	4
chicken	3
chicken	1
chicken	6
chicken	1
chicken	4
chicken	1
chicken	6
chicken	13
chicken	9
chicken	2
chicken	7
chicken	7
chicken	6
chicken	4
chicken	3
chicken	6
chicken	1
chicken	7
chicken	8
chicken	11
chicken	5
chicken	3
chicken	8
chicken	3
chicken	8
chicken	2
chicken	2
chicken	1
chicken	1
chicken	8
chicken	1
chicken	27
chicken	3
chicken	7
chicken	1
fish	6
fish	7
fish	1
fish	10
fish	10
fish	14
glasses	16
glasses	9
glasses	7
glasses	6
glasses	3
glasses	6
glasses	3
glasses	16
glasses	3
glasses	8
glasses	3
glasses	2
glasses	4
glasses	3
glasses	9
glasses	13
glasses	3
glasses	3
glasses	4
glasses	10
glasses	3
glasses	3
glasses	5
glasses	5
glasses	2
glasses	2
glasses	3
glasses	4
glasses	1
glasses	13
glasses	10
glasses	4
glasses	4
glasses	5
lamb	7
lamb	4
lamb	3
lamb	7
letter	5
letter	4
letter	7
letter	3
letter	4
letter	9
letter	3
letter	9
letter	7
letter	7
letter	2
letter	3
letter	5
letter	5
letter	3
letter	6
letter	4
letter	9
letter	12
letter	24
letter	3
letter	4
letter	5
letter	6
letter	4
letter	15
letter	10
letter	4
letter	7
letter	9
letter	12
letter	4
letter	3
letter	6
letter	4
letter	10
letter	4
letter	2
letter	5
letter	4
letter	10
letter	5
letter	1
letter	6
letter	5
letter	10
letter	12
letter	5
letter	7
letter	3
letter	3
letter	2
letter	1
letter	2
letter	6
letter	5
letter	7
letter	11
letter	15
letter	8
letter	3
letter	3
letter	3
line	4
line	5
line	4
line	18
line	8
line	7
line	3
line	3
line	5
line	6
line	2
line	5
line	5
line	4
line	4
line	6
nail	6
nail	7
nail	2
nail	4
nail	1
nail	4
nail	2
nail	5
nail	7
nail	5
nail	5
nail	6
nail	16
nail	11
nail	11
nail	12
nail	12
nail	6
nail	11
turkey	7
turkey	12
turkey	4


